OBJECTID,ID,DIST_NM,DIST_NUM,CNTY_NM,CNTY_NUM,TRF_STA_ID,AADT_2022,x,y
183,60121,Lubbock,5,Hale,96,96CR66,5,-101.766379999737,33.9744219999754
184,60185,Lubbock,5,Hale,96,96CR131,14,-102.019463000217,34.2464180002905
185,60345,Lubbock,5,Castro,35,35CR57,3,-102.0557790004,34.35425199983
186,60353,Lubbock,5,Castro,35,35CR58,9,-102.038422000375,34.3472859996492
187,60369,Lubbock,5,Hale,96,96CR132,13,-101.95532999968,34.2463380001986
188,60385,Lubbock,0,Hale,96,96RS1,14,-101.917830999801,34.239140000111
189,60441,Lubbock,5,Hale,96,96CR133A,12,-101.879906000062,34.2463109998528
190,60449,Lubbock,5,Hale,96,96CR305,5,-101.866203000368,34.2724759995678
191,60465,Lubbock,5,Hale,96,96CR325,9,-101.821883999847,34.079410999618
192,60497,Lubbock,5,Hale,96,96CR57A,5,-101.770492999652,34.108360000014
193,60537,Lubbock,5,Hale,96,96CR238,13,-101.731124999919,34.1400790004456
194,61065,Lubbock,5,Hale,96,96CR140,14,-101.830956000019,34.2604140000062
195,61081,Lubbock,5,Hale,96,96CR141,9,-101.814239999876,34.2470699997807
196,61089,Lubbock,5,Hale,96,96CR249,14,-101.783622999901,34.2330550000883
197,61153,Lubbock,5,Hale,96,96CR2,12,-101.727393999633,34.3083110000526
198,61177,Lubbock,5,Swisher,219,219U20,14,-101.850906000012,34.4411089996806
199,61201,Lubbock,0,Swisher,219,219RS4,2,-101.88461300039,34.5330280000422
200,61209,Lubbock,5,Swisher,219,219CR131,10,-101.744667000282,34.3545570004053
201,61249,Lubbock,5,Swisher,219,219CR61,12,-101.761344999572,34.4564320003366
202,61289,Lubbock,5,Swisher,219,219CR97,9,-101.804213999776,34.5880359997616
203,61297,Lubbock,5,Swisher,219,219CR98,13,-101.807770000085,34.6026649998899
204,61321,Lubbock,5,Swisher,219,219CR125,13,-101.777313000295,34.514721000274
205,61769,Lubbock,5,Swisher,219,219CR108,3,-101.845611999594,34.7051239997728
206,61793,Lubbock,5,Swisher,219,219CR110,2,-101.837730000339,34.6759570001155
207,61841,Lubbock,5,Lubbock,152,152UD56,14,-101.654540999867,33.5777969999316
208,62073,Lubbock,5,Hale,96,96CR42,5,-101.695595000009,33.8373789997411
209,62185,Lubbock,0,Crosby,54,54RS4,12,-101.246590000028,33.6506349999054
210,62273,Lubbock,0,Floyd,78,78RS4,6,-101.363762000316,33.9774480001252
211,62361,Lubbock,0,Floyd,78,78RS7,10,-101.323226999826,33.9899940004228
212,62593,Lubbock,5,Hale,96,96CR318,8,-101.70837400026,34.1939889998925
213,62889,Childress,25,Briscoe,23,23FS1,3,-101.452270999907,34.3811799996573
214,62897,Lubbock,5,Swisher,219,219FS10,4,-101.556725000059,34.5353090000104
215,62937,Lubbock,0,Floyd,78,78RS1,5,-101.436249000291,34.1205370003823
216,62969,Childress,25,Briscoe,23,23FS15,9,-101.409645000117,34.3910830003802
217,62985,Childress,25,Briscoe,23,23FS11,4,-101.336220000053,34.3914530003557
218,62993,Childress,25,Briscoe,23,23FS22,5,-101.350524999629,34.4929119999888
219,63001,Childress,25,Briscoe,23,23FS2,2,-101.316688999598,34.362507000098
220,63009,Childress,25,Briscoe,23,23FS19,4,-101.296035999562,34.362578999821
221,63017,Childress,25,Briscoe,23,23FS16,6,-101.305770999732,34.3915599998941
222,63025,Childress,25,Briscoe,23,23FS3,5,-101.268303000383,34.3592069999032
223,63041,Childress,25,Briscoe,23,23CR19,7,-101.259887999931,34.4105610001901
224,63057,Childress,25,Briscoe,23,23FS23,8,-101.207404999741,34.4240150000923
225,63065,Childress,25,Briscoe,23,23FS13,5,-101.204819000097,34.4355390000249
226,63105,Childress,25,Briscoe,23,23FS104,5,-101.299149000126,34.473080000042
227,63113,Childress,25,Briscoe,23,23FS102,13,-101.298072999969,34.4757229996168
228,63129,Childress,25,Briscoe,23,23FS7,10,-101.313324000003,34.5443689996297
229,63145,Childress,25,Dickens,63,63FS3,3,-101.014893000112,33.7088970003963
230,63153,Childress,25,Dickens,63,63FS19,6,-101.029175000426,33.7656020001323
231,63169,Childress,25,Dickens,63,63FS4,4,-100.915702999893,33.5563510001986
232,63185,Childress,25,Dickens,63,63FS8,4,-100.883537000432,33.5879100004462
233,63193,Childress,25,Dickens,63,63FS9,2,-100.881339999841,33.6023829996757
234,63201,Childress,25,Dickens,63,63FS7,6,-100.879768000193,33.616191999761
235,63217,Childress,25,Dickens,63,63CR21,9,-100.900374999906,33.6306500000975
236,63241,Childress,25,Dickens,63,63FS101,6,-100.839287000395,33.6228829998506
237,63249,Childress,25,Dickens,63,63FS103,8,-100.839302000187,33.6238779998699
238,63257,Childress,25,Dickens,63,63FS105,10,-100.835563999579,33.6250269997963
239,63265,Childress,25,Dickens,63,63FS104,8,-100.831527999617,33.627048000365
240,63273,Childress,25,Dickens,63,63FS17,4,-100.823814000016,33.6886290001283
241,63281,Childress,25,Dickens,63,63FS22,4,-100.80830399973,33.7047879997664
242,63297,Childress,25,Dickens,63,63CR4,5,-100.796042999984,33.7338069997933
243,63313,Childress,25,Dickens,63,63FS6,9,-100.829712000408,33.7686729996593
244,63321,Childress,25,Dickens,63,63CR8,2,-100.684997999858,33.6454849998329
245,63329,Childress,25,Dickens,63,63FS13,3,-100.677208000349,33.6404650003595
246,63337,Childress,25,Dickens,63,63CR5,7,-100.787254000272,33.733844999747
247,63345,Childress,25,Dickens,63,63FS11,3,-100.760276999984,33.7729800004267
248,63369,Childress,25,Motley,173,173FS116,12,-100.856911000143,33.8980869997153
